,label,UNQ,2020_max_gap,2020_avg_gap,2020_med_gap,2020_gaps_gt2,2020_gaps_gt3d,2020_gaps_gt4d,2020_gaps_gt5d
UNQ_1,1,1,120.162763,14.99709873,2.695906749,9,3,1,1
UNQ_10,10,10,144.1329987,15.24095606,2.665865662,9,3,2,2
UNQ_11,11,11,143.1933902,15.41436392,2.223046338,8,4,1,1
UNQ_11621,11621,28,168.0075987,16.30120859,21.24675999,6,2,2,2
UNQ_11757,11757,37,168.0075967,17.10050853,21.38457274,5,2,2,2
UNQ_11892,11892,46,120.426149,18.25150949,21.65608501,7,2,2,2
UNQ_12,12,12,143.6554331,17.9978818,21.32330403,7,3,2,1
UNQ_12028,12028,55,95.97740844,15.55867267,2.785970356,5,3,0,0
UNQ_12163,12163,64,119.8420515,17.57554264,21.28371092,7,3,1,0
UNQ_12299,12299,73,119.8426149,17.73980746,21.63849291,6,1,1,0
UNQ_12437,12437,82,119.8422052,18.98160224,21.73999014,7,2,2,0
UNQ_12575,12575,91,119.8427687,17.90717941,21.6607703,7,2,1,0
UNQ_12716,12716,100,98.33185117,16.50575267,21.24417857,7,2,1,0
UNQ_12859,12859,109,72.02357076,16.86288434,21.33617006,6,1,0,0
UNQ_12860,12860,110,72.79166102,15.81511898,21.39491073,7,1,0,0
UNQ_12861,12861,111,72.79102926,14.82667404,2.543517688,5,1,0,0
UNQ_12862,12862,112,143.6610109,15.28776258,2.591361016,8,2,1,1
UNQ_12863,12863,113,119.982364,15.92943833,21.76900724,6,2,1,0
UNQ_12864,12864,114,72.23814458,16.41733883,11.97436149,8,2,0,0
UNQ_12865,12865,115,119.5416193,17.2399494,21.29823334,8,1,1,0
UNQ_12866,12866,116,93.37449752,14.36730994,2.695091497,7,2,0,0
UNQ_12867,12867,117,72.32107962,13.84295556,2.708898132,5,1,0,0
UNQ_13,13,13,144.0242657,15.79022627,21.23480346,5,3,2,1
UNQ_14,14,14,119.9795435,16.49295013,21.13741659,7,4,1,0
UNQ_15,15,15,95.5659463,15.80074925,2.848023897,7,3,0,0
UNQ_16,16,16,96.09707838,14.04511045,2.348203714,7,3,1,0
UNQ_17,17,17,119.5437764,14.69837361,2.348453624,7,3,1,0
UNQ_18,18,18,93.29677703,14.58764738,2.267127738,8,1,0,0
UNQ_19,19,19,144.1323642,17.35776606,21.29140517,8,3,1,1
UNQ_2,2,2,165.1792325,15.04735298,1.98571642,7,4,1,1
UNQ_20,20,20,143.1927557,16.77846692,21.06619197,9,3,2,1
UNQ_21,21,21,143.6551487,17.17229614,21.11693509,9,3,2,1
UNQ_22,22,22,119.979544,13.70825908,1.971426086,5,3,2,0
UNQ_23,23,23,119.2673553,15.5227766,2.699977014,6,3,1,0
UNQ_24,24,24,95.71041576,14.25630871,2.786091576,5,3,0,0
UNQ_25,25,25,96.09698202,14.25630871,2.451403614,7,3,2,0
UNQ_26,26,26,141.1452996,14.07443648,2.233172441,5,3,2,1
UNQ_27,27,27,93.29589261,16.78224882,21.32863239,9,2,0,0
UNQ_28,28,29,143.1933863,16.92827211,21.18131692,9,3,2,1
UNQ_29,29,30,143.6554949,16.27634677,2.581709354,11,3,2,1
UNQ_3,3,3,143.6553712,16.48666749,2.665090083,7,3,2,1
UNQ_30,30,31,119.9795446,15.65432536,21.14168761,6,3,3,0
UNQ_31,31,32,119.2743548,16.94688434,21.67806997,5,2,1,0
UNQ_32,32,33,95.71048063,15.93010253,21.27282052,7,2,0,0
UNQ_33,33,34,117.1958971,15.9335191,21.22165511,6,3,2,0
UNQ_34,34,35,96.01929562,15.60051402,21.21261577,6,3,1,0
UNQ_35,35,36,93.29539206,14.7007318,2.665124145,9,1,0,0
UNQ_36,36,38,143.5270346,18.05682631,21.28737098,11,2,1,1
UNQ_37,37,39,143.526404,15.34246036,2.452012121,6,2,2,2
UNQ_38,38,40,119.9795446,15.52277622,21.08733817,4,2,2,0
UNQ_39,39,41,119.2746372,16.92573702,21.67942369,5,2,1,0
UNQ_4,4,4,144.2620531,15.92635011,11.97712446,6,3,3,2
UNQ_40,40,42,95.71019999,14.80940025,2.846496809,7,3,0,0
UNQ_41,41,43,121.9871237,15.54170192,2.766677397,5,3,2,1
UNQ_42,42,44,96.01904513,14.15292076,2.365435919,5,3,1,0
UNQ_43,43,45,93.29450763,14.8155787,2.728779497,8,2,0,0
UNQ_44,44,47,95.55181973,17.90714378,21.36408745,8,1,0,0
UNQ_45,45,48,117.3314527,15.32616726,2.867737211,6,2,1,0
UNQ_46,46,49,119.9795452,15.52277622,2.867737211,6,1,1,0
UNQ_47,47,50,119.2742641,17.39158038,21.68608931,6,2,1,0
UNQ_48,48,51,95.71026485,16.62810141,21.26352183,7,4,0,0
UNQ_49,49,52,121.9882533,17.72043722,21.62490413,5,3,1,1
UNQ_5,5,5,119.9795435,14.89685837,2.872788559,5,4,1,0
UNQ_50,50,53,93.29425743,15.54500165,20.15453736,5,2,0,0
UNQ_51,51,54,119.5831307,15.05150953,2.828526472,6,2,1,0
UNQ_52,52,56,95.55245036,16.50571983,21.28534477,5,1,0,0
UNQ_53,53,57,95.5955859,14.70818243,2.676545903,5,2,0,0
UNQ_54,54,58,119.9795452,17.10379951,21.70007747,4,1,1,0
UNQ_55,55,59,95.70998406,16.06510441,21.34890181,6,2,0,0
UNQ_56,56,60,95.70998406,16.92503217,21.50396275,6,4,0,0
UNQ_57,57,61,121.9885034,16.77952151,21.62437168,5,3,1,1
UNQ_58,58,62,93.29312265,14.93298925,2.726171955,6,2,0,0
UNQ_59,59,63,119.5830573,14.47702011,2.347834135,8,2,1,0
UNQ_6,6,6,119.274254,14.47397529,2.294011305,7,3,1,0
UNQ_60,60,65,95.55301061,15.81799049,21.38819549,3,1,0,0
UNQ_61,61,66,95.59523327,14.02667211,2.283294926,4,3,0,0
UNQ_62,62,67,95.38077127,15.14106824,2.768379145,4,1,0,0
UNQ_63,63,68,95.71004893,16.06510734,21.28731276,7,2,0,0
UNQ_64,64,69,143.1233345,17.07750737,21.64130091,6,3,1,1
UNQ_65,65,70,121.9896331,14.37974871,2.651156654,4,2,1,1
UNQ_66,66,71,93.29287245,16.78308868,21.28888719,7,2,0,0
UNQ_67,67,72,95.64419542,14.58837708,2.289049265,8,2,0,0
UNQ_68,68,74,119.8426149,15.95091932,21.40284162,3,3,1,0
UNQ_69,69,75,95.81628409,14.54496319,2.28491853,5,5,0,0
UNQ_7,7,7,96.0977315,14.36432612,2.749055135,5,3,1,0
UNQ_70,70,76,95.56549846,16.77594774,21.26657646,6,2,0,0
UNQ_71,71,77,95.8503937,16.34141074,21.30546974,7,2,0,0
UNQ_72,72,78,143.1234052,17.39085914,21.62149986,6,3,1,1
UNQ_73,73,79,121.9905126,16.13428549,11.95128939,5,3,2,1
UNQ_74,74,80,119.5412067,17.08547603,21.30610564,6,3,2,0
UNQ_75,75,81,96.01929417,14.25930707,2.223861733,7,2,1,0
UNQ_76,76,83,119.8422052,16.7978778,21.66440332,4,2,1,0
UNQ_77,77,84,95.81656575,15.23432978,2.699491039,4,3,0,0
UNQ_78,78,85,95.56606193,14.92663339,2.5825529,4,1,0,0
UNQ_79,79,86,96.31294628,16.34141111,21.19612947,8,2,1,0
UNQ_8,8,8,119.544332,15.29105227,11.73047764,5,3,1,0
UNQ_80,80,87,96.31294628,17.23275523,21.18109467,9,4,1,0
UNQ_81,81,88,121.9910128,14.14930582,2.235923077,5,3,2,1
UNQ_82,82,89,119.5417795,15.0514863,2.721279193,6,1,1,0
UNQ_83,83,90,72.32090036,13.35554418,2.105281447,8,2,0,0
UNQ_84,84,92,119.842487,16.08611031,21.32280582,6,1,1,0
UNQ_85,85,93,95.81615623,15.94800744,21.27267066,6,3,0,0
UNQ_86,86,94,95.56569061,15.28775931,2.633366442,4,1,0,0
UNQ_87,87,95,119.9823853,16.06443562,21.3068751,6,3,1,0
UNQ_88,88,96,93.19029233,18.40391654,21.64141925,9,4,0,0
UNQ_89,89,97,143.9264838,17.23642709,2.72187599,7,4,2,1
UNQ_9,9,9,119.2626003,17.71968566,21.33002559,7,3,1,0
UNQ_90,90,98,93.37524739,15.05148142,11.94221555,7,1,0,0
UNQ_91,91,99,72.32084901,12.31484844,1.946847531,5,1,0,0
UNQ_92,92,101,95.8160285,14.60124469,12.06928311,6,1,0,0
UNQ_93,93,102,95.56625422,16.50272516,21.31877626,7,3,0,0
UNQ_94,94,103,95.88458939,15.41205053,2.98899158,6,2,0,0
UNQ_95,95,104,119.9830171,17.39085993,22.10079731,5,2,1,0
UNQ_96,96,105,93.18923618,17.71592273,21.62177846,10,3,0,0
UNQ_97,97,106,143.9691417,16.20849455,2.726521251,7,3,2,1
UNQ_98,98,107,93.37474743,14.8162928,11.93965568,7,1,0,0
UNQ_99,99,108,72.32051601,12.23539415,1.97667299,5,1,0,0
